Exercise,Rep,Angle1,Angle2,Status
squat,1,173.95,169.16,Model Not Trained
squat,2,111.57,114.63,Model Not Trained
squat,3,145.67,133.42,Model Not Trained
squat,4,132.08,134.57,Model Not Trained
squat,5,149.74,145.09,Model Not Trained
squat,6,147.69,142.49,Model Not Trained
squat,7,144.71,140.16,Model Not Trained
squat,8,146.77,143.25,Model Not Trained
squat,9,111.49,113.89,Model Not Trained
squat,10,166.1,165.51,Model Not Trained
squat,11,154.86,151.2,Model Not Trained
squat,12,150.79,151.1,Model Not Trained
squat,13,156.65,155.06,Model Not Trained
squat,14,157.25,154.58,Model Not Trained
squat,15,154.92,152.36,Model Not Trained
squat,16,157.8,153.56,Model Not Trained
squat,17,156.21,153.3,Model Not Trained
squat,18,157.44,154.24,Model Not Trained
squat,19,154.86,152.68,Model Not Trained
squat,20,114.98,140.7,Model Not Trained
